freq,unit,s_adj,na_item,geo\TIME_PERIOD	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 
Q,I15,NSA,RLPR_HW,NL	95.534 	104.157 	102.927 	98.648 	96.219 	105.025 	102.209 	96.634 	95.711 	103.019 	101.581 	96.929 	97.334 	98.304 	103.348 	94.259 	97.435 	100.713 	106.284 	94.977 	97.280 	101.529 	106.154 	96.740 
Q,I15,NSA,RLPR_HW,NO	96.698 	104.396 	108.298 	101.694 	99.475 	100.519 	106.649 	100.749 	97.137 	102.733 	105.050 	100.917 	97.920 	101.135 	108.322 	102.371 	98.668 	105.317 	109.361 	102.337 	98.698 	103.743 	108.414 	102.590 
Q,I15,NSA,RLPR_HW,PL	99.110 	103.555 	101.946 	123.614 	106.684 	111.693 	108.131 	130.869 	111.755 	118.139 	113.451 	135.755 	115.909 	112.289 	112.137 	132.377 	110.285 	114.510 	115.266 	136.377 	119.089 	120.777 	123.112 	138.455 
Q,I15,NSA,RLPR_HW,PT	95.833 	99.091 	107.156 	101.506 	98.322 	99.049 	106.529 	99.205 	99.021 	101.919 	107.875 	100.384 	99.563 	105.926 	106.061 	99.514 	102.237 	98.919 	110.535 	108.514 	103.011 	108.167 	115.775 	108.922 
Q,I15,NSA,RLPR_HW,RO	89.123 	96.841 	121.925 	132.206 	93.824 	104.070 	129.245 	138.445 	96.525 	107.470 	132.709 	142.004 	99.161 	112.687 	129.155 	141.507 	98.517 	111.960 	134.711 	143.987 	103.234 	117.899 	139.850 	150.273 
Q,I15,NSA,RLPR_HW,RS	91.889 	95.565 	98.571 	102.088 	95.883 	99.824 	101.790 	103.753 	95.774 	100.946 	105.365 	107.272 	100.997 	95.481 	104.549 	107.690 	103.209 	105.934 	110.131 	113.175 	106.286 	108.522 	110.173 	111.585 
Q,I15,NSA,RLPR_HW,SE	94.778 	99.468 	108.007 	99.150 	96.438 	98.603 	107.847 	99.930 	97.383 	101.610 	109.544 	103.251 	99.225 	99.016 	113.734 	104.828 	100.950 	103.231 	114.721 	108.735 	104.353 	104.975 	114.261 	105.244 
Q,I15,NSA,RLPR_HW,SI	99.268 	106.152 	115.289 	108.747 	102.302 	109.625 	119.164 	108.797 	104.932 	109.554 	119.045 	110.785 	104.579 	113.990 	116.570 	112.314 	109.624 	116.315 	116.309 	116.304 	112.476 	119.749 	118.462 	113.906 
Q,I15,NSA,RLPR_HW,SK	92.222 	100.173 	112.110 	106.545 	95.375 	102.669 	114.744 	108.650 	98.792 	105.900 	115.048 	110.657 	100.527 	115.284 	121.376 	119.591 	108.987 	112.987 	124.725 	122.475 	104.163 	109.723 	124.569 	119.650 
Q,I15,NSA,RLPR_HW,UK	97.1 	98.5 	101.9 	103.4 	99.3 	98.1 	101.5 	103.4 	97.7 	98.3 	101.4 	105.1 	98.1 	96.3 	104.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 
