"Date","Organic traffic"
"2019-12-02",39385
"2019-12-03",39382
"2019-12-04",39457
"2019-12-05",39480
"2019-12-06",39752
"2019-12-07",39735
"2019-12-08",39700
"2019-12-09",37587
"2019-12-10",37628
"2019-12-11",37630
"2019-12-12",37606
"2019-12-13",37582
"2019-12-14",37596
"2019-12-15",37586
"2019-12-16",37554
"2019-12-17",35944
"2019-12-18",35937
"2019-12-19",35901
"2019-12-20",35891
"2019-12-21",35811
"2019-12-22",35842
"2019-12-23",35850
"2019-12-24",35865
"2019-12-25",35856
"2019-12-26",35860
"2019-12-27",36012
"2019-12-28",36010
"2019-12-29",36017
"2019-12-30",35843
"2019-12-31",35844
"2020-01-01",35840
"2020-01-02",35883
"2020-01-03",35884
"2020-01-04",30126
"2020-01-05",29982
"2020-01-06",29991
"2020-01-07",29994
"2020-01-08",29926
"2020-01-09",29919
"2020-01-10",29930
"2020-01-11",28345
"2020-01-12",28321
"2020-01-13",28335
"2020-01-14",29371
"2020-01-15",29819
"2020-01-16",30018
"2020-01-17",30010
"2020-01-18",30078
"2020-01-19",30114
"2020-01-20",30233
"2020-01-21",29160
"2020-01-22",29174
"2020-01-23",29203
"2020-01-24",29127
"2020-01-25",29473
"2020-01-26",29615
"2020-01-27",29320
"2020-01-28",30907
"2020-01-29",31218
"2020-01-30",31250
"2020-01-31",31256
"2020-02-01",30995
"2020-02-02",30803
"2020-02-03",30801
"2020-02-04",30755
"2020-02-05",23963
"2020-02-06",24022
"2020-02-07",24070
"2020-02-08",21702
"2020-02-09",21663
"2020-02-10",22745
"2020-02-11",22649
"2020-02-12",22646
"2020-02-13",21546
"2020-02-14",20790
"2020-02-15",21907
"2020-02-16",21968
"2020-02-17",23921
"2020-02-18",23981
"2020-02-19",25862
"2020-02-20",25883
"2020-02-21",26056
"2020-02-22",25145
"2020-02-23",25002
"2020-02-24",24848
"2020-02-25",25234
"2020-02-26",25107
"2020-02-27",24867
"2020-02-28",24987
"2020-02-29",25188
"2020-03-01",32761
"2020-03-02",31933
"2020-03-03",30318
"2020-03-04",30648
"2020-03-05",30648
"2020-03-06",31205
"2020-03-07",31156
"2020-03-08",31019
"2020-03-09",29838
"2020-03-10",29533
"2020-03-11",32188
"2020-03-12",32185
"2020-03-13",32600
"2020-03-14",31633
"2020-03-15",30149
"2020-03-16",31340
"2020-03-17",33134
"2020-03-18",31928
"2020-03-19",30500
"2020-03-20",31688
"2020-03-21",32837
"2020-03-22",32765
"2020-03-23",32899
"2020-03-24",31602
"2020-03-25",30423
"2020-03-26",31642
"2020-03-27",32531
"2020-03-28",32673
"2020-03-29",32866
"2020-03-30",32795
"2020-03-31",32794
"2020-04-01",28770
"2020-04-02",23792
"2020-04-03",23999
"2020-04-04",23120
"2020-04-05",22966
"2020-04-06",23693
"2020-04-07",23561
"2020-04-08",23181
"2020-04-09",23260
"2020-04-10",22302
"2020-04-11",21798
"2020-04-12",22682
"2020-04-13",22633
"2020-04-14",22573
"2020-04-15",21840
"2020-04-16",21939
"2020-04-17",22732
"2020-04-18",22857
"2020-04-19",22808
"2020-04-20",21636
"2020-04-21",21558
"2020-04-22",21555
"2020-04-23",21396
"2020-04-24",22368
"2020-04-25",22486
"2020-04-26",22387
"2020-04-27",22253
"2020-04-28",21189
"2020-04-29",20979
"2020-04-30",21163
"2020-05-01",20001
"2020-05-02",19538
"2020-05-03",19425
"2020-05-04",19463
"2020-05-05",18977
"2020-05-06",18874
"2020-05-07",18991
"2020-05-08",19266
"2020-05-09",19322
"2020-05-10",19352
"2020-05-11",19344
"2020-05-12",19644
"2020-05-13",19685
"2020-05-14",20301
"2020-05-15",20352
"2020-05-16",20312
"2020-05-17",20981
"2020-05-18",20135
"2020-05-19",19333
"2020-05-20",19307
"2020-05-21",18453
"2020-05-22",18409
"2020-05-23",19142
"2020-05-24",19778
"2020-05-25",19171
"2020-05-26",19012
"2020-05-27",19007
"2020-05-28",19205
"2020-05-29",19205
"2020-05-30",19973
"2020-05-31",19369
"2020-06-01",22544
"2020-06-02",24973
"2020-06-03",25177
"2020-06-04",25012
"2020-06-05",24952
"2020-06-06",25083
"2020-06-07",24202
"2020-06-08",24215
"2020-06-09",24201
"2020-06-10",24095
"2020-06-11",24525
"2020-06-12",24648
"2020-06-13",24744
"2020-06-14",25514
"2020-06-15",25573
"2020-06-16",25711
"2020-06-17",25752
"2020-06-18",25780
"2020-06-19",24500
"2020-06-20",23596
"2020-06-21",24857
"2020-06-22",24962
"2020-06-23",24838
"2020-06-24",25095
"2020-06-25",24006
"2020-06-26",24024
"2020-06-27",25521
"2020-06-28",25578
"2020-06-29",25723
"2020-06-30",25768
"2020-07-01",29041
"2020-07-02",28409
"2020-07-03",28419
"2020-07-04",27332
"2020-07-05",26179
"2020-07-06",26352
"2020-07-07",26368
"2020-07-08",26531
"2020-07-09",27866
"2020-07-10",28765
"2020-07-11",28899
"2020-07-12",28888
"2020-07-13",28781
"2020-07-14",27686
"2020-07-15",27530
"2020-07-16",26445
"2020-07-17",26400
"2020-07-18",26534
"2020-07-19",27804
"2020-07-20",27823
"2020-07-21",26565
"2020-07-22",26276
"2020-07-23",27284
"2020-07-24",27225
"2020-07-25",26172
"2020-07-26",26314
"2020-07-27",26368
"2020-07-28",26249
"2020-07-29",26242
"2020-07-30",26419
"2020-07-31",26474
"2020-08-01",30935
"2020-08-02",31085
"2020-08-03",31173
"2020-08-04",31357
"2020-08-05",32529
"2020-08-06",32502
"2020-08-07",32458
"2020-08-08",32497
"2020-08-09",32405
"2020-08-10",32423
"2020-08-11",32440
"2020-08-12",32453
"2020-08-13",32678
"2020-08-14",32774
"2020-08-15",34067
"2020-08-16",34077
"2020-08-17",33031
"2020-08-18",33084
"2020-08-19",33146
"2020-08-20",32824
"2020-08-21",32606
"2020-08-22",32831
"2020-08-23",32957
"2020-08-24",34008
"2020-08-25",34015
"2020-08-26",34125
"2020-08-27",33548
"2020-08-28",33639
"2020-08-29",34088
"2020-08-30",33961
"2020-08-31",34221
"2020-09-01",34232
"2020-09-02",34128
"2020-09-03",33188
"2020-09-04",32324
"2020-09-05",32196
"2020-09-06",32192
"2020-09-07",32014
"2020-09-08",31859
"2020-09-09",31855
"2020-09-10",32496
"2020-09-11",32489
"2020-09-12",33619
"2020-09-13",34901
"2020-09-14",35068
"2020-09-15",35105
"2020-09-16",33753
"2020-09-17",33448
"2020-09-18",33128
"2020-09-19",33037
"2020-09-20",33118
"2020-09-21",33116
"2020-09-22",33074
"2020-09-23",33064
"2020-09-24",33183
"2020-09-25",33490
"2020-09-26",34338
"2020-09-27",34307
"2020-09-28",34142
"2020-09-29",33933
"2020-09-30",34244
"2020-10-01",34240
"2020-10-02",36918
"2020-10-03",38185
"2020-10-04",38619
"2020-10-05",38937
"2020-10-06",39187
"2020-10-07",39316
"2020-10-08",39409
"2020-10-09",40494
"2020-10-10",40936
"2020-10-11",40720
"2020-10-12",40803
"2020-10-13",41267
"2020-10-14",42191
"2020-10-15",42239
"2020-10-16",42539
"2020-10-17",42981
"2020-10-18",43397
"2020-10-19",44629
"2020-10-20",45635
"2020-10-21",44461
"2020-10-22",44189
"2020-10-23",44250
"2020-10-24",44539
"2020-10-25",44090
"2020-10-26",44824
"2020-10-27",44724
"2020-10-28",44978
"2020-10-29",47289
"2020-10-30",47956
"2020-10-31",46952
"2020-11-01",52530
"2020-11-02",57120
"2020-11-03",57117
"2020-11-04",59252
"2020-11-05",60797
"2020-11-06",63683
"2020-11-07",61866
"2020-11-08",62269
"2020-11-09",62736
"2020-11-10",61480
"2020-11-11",61360
"2020-11-12",62257
"2020-11-13",62744
"2020-11-14",63592
"2020-11-15",64219
"2020-11-16",63667
"2020-11-17",64325
"2020-11-18",64516
"2020-11-19",64410
"2020-11-20",63107
"2020-11-21",63136
"2020-11-22",63772
"2020-11-23",64298
"2020-11-24",66022
"2020-11-25",66608
"2020-11-26",68116
"2020-11-27",76530
"2020-11-28",76892
"2020-11-29",77102
"2020-11-30",77869
"2020-12-01",84295
"2020-12-02",82062
"2020-12-03",82039
"2020-12-04",77477
"2020-12-05",74930
"2020-12-06",74482
"2020-12-07",74090
"2020-12-08",72493
"2020-12-09",71493
"2020-12-10",70641
"2020-12-11",70436
"2020-12-12",70248
"2020-12-13",70142
"2020-12-14",69851
"2020-12-15",69643
"2020-12-16",68871
"2020-12-17",68661
"2020-12-18",68004
"2020-12-19",67582
"2020-12-20",67259
"2020-12-21",66914
"2020-12-22",66791
"2020-12-23",63711
"2020-12-24",63381
"2020-12-25",63345
"2020-12-26",63350
"2020-12-27",67660
"2020-12-28",64331
"2020-12-29",62040
"2020-12-30",61772
"2020-12-31",61762
"2021-01-01",61748
"2021-01-02",61689
"2021-01-03",48069
"2021-01-04",48010
"2021-01-05",47828
"2021-01-06",47828
"2021-01-07",47874
"2021-01-08",47959
"2021-01-09",47725
"2021-01-10",47725
"2021-01-11",47708
"2021-01-12",47616
"2021-01-13",47610
"2021-01-14",47591
"2021-01-15",47194
"2021-01-16",47198
"2021-01-17",48869
"2021-01-18",48751
"2021-01-19",48202
"2021-01-20",45961
"2021-01-21",45928
"2021-01-22",47568
"2021-01-23",47550
"2021-01-24",47087
"2021-01-25",47099
"2021-01-26",47088
"2021-01-27",47054
"2021-01-28",45109
"2021-01-29",45506
"2021-01-30",45505
"2021-01-31",48996
"2021-02-01",48885
"2021-02-02",37732
"2021-02-03",37292
"2021-02-04",37309
"2021-02-05",37259
"2021-02-06",38734
"2021-02-07",38742
"2021-02-08",38735
"2021-02-09",37523
"2021-02-10",38946
"2021-02-11",38939
"2021-02-12",37536
"2021-02-13",38991
"2021-02-14",39004
"2021-02-15",39003
"2021-02-16",37577
"2021-02-17",36103
"2021-02-18",36087
"2021-02-19",36092
"2021-02-20",35960
"2021-02-21",35948
"2021-02-22",37390
"2021-02-23",38561
"2021-02-24",38569
"2021-02-25",37356
"2021-02-26",37349
"2021-02-27",37319
"2021-02-28",37317
"2021-03-01",37804
"2021-03-02",36810
"2021-03-03",35659
"2021-03-04",35657
"2021-03-05",35811
"2021-03-06",35900
"2021-03-07",35893
"2021-03-08",37246
"2021-03-09",37238
"2021-03-10",35691
"2021-03-11",35703
"2021-03-12",35469
"2021-03-13",37264
"2021-03-14",36602
"2021-03-15",36584
"2021-03-16",37199
"2021-03-17",35685
"2021-03-18",35632
"2021-03-19",34956
"2021-03-20",37786
"2021-03-21",37658
"2021-03-22",37855
"2021-03-23",37844
"2021-03-24",37842
"2021-03-25",36633
"2021-03-26",36630
"2021-03-27",36032
"2021-03-28",36974
"2021-03-29",37515
"2021-03-30",37449
"2021-03-31",35669
"2021-04-01",35003
"2021-04-02",35561
"2021-04-03",35537
"2021-04-04",37682
"2021-04-05",37791
"2021-04-06",35968
"2021-04-07",35850
"2021-04-08",35872
"2021-04-09",35545
"2021-04-10",35532
"2021-04-11",35610
"2021-04-12",35608
"2021-04-13",35588
"2021-04-14",35726
"2021-04-15",35730
"2021-04-16",35753
"2021-04-17",34850
"2021-04-18",35180
"2021-04-19",35130
"2021-04-20",35249
"2021-04-21",35203
"2021-04-22",35210
"2021-04-23",35132
"2021-04-24",35141
"2021-04-25",35145
"2021-04-26",35119
"2021-04-27",35098
"2021-04-28",35098
"2021-04-29",35086
"2021-04-30",35084
"2021-05-01",35069
"2021-05-02",35677
"2021-05-03",35873
"2021-05-04",47825
"2021-05-05",47837
"2021-05-06",47839
"2021-05-07",47878
"2021-05-08",47871
"2021-05-09",47859
"2021-05-10",48395
"2021-05-11",52917
"2021-05-12",52927
"2021-05-13",52877
"2021-05-14",50232
"2021-05-15",50505
"2021-05-16",50407
"2021-05-17",48902
"2021-05-18",48896
"2021-05-19",48880
"2021-05-20",48898
"2021-05-21",53167
"2021-05-22",50540
"2021-05-23",50457
"2021-05-24",50459
"2021-05-25",50355
"2021-05-26",24344
"2021-05-27",22982
"2021-05-28",49014
"2021-05-29",49011
"2021-05-30",51505
"2021-05-31",51435
"2021-06-01",54412
"2021-06-02",54579
"2021-06-03",57790
"2021-06-04",58502
"2021-06-05",61487
"2021-06-06",62974
"2021-06-07",63887
"2021-06-08",65708
"2021-06-09",66550
"2021-06-10",67105
"2021-06-11",63530
"2021-06-12",63868
"2021-06-13",62973
"2021-06-14",62705
"2021-06-15",62731
"2021-06-16",63343
"2021-06-17",66223
"2021-06-18",66272
"2021-06-19",63479
"2021-06-20",63883
"2021-06-21",68810
"2021-06-22",68277
"2021-06-23",64922
"2021-06-24",65135
"2021-06-25",63240
"2021-06-26",60673
"2021-06-27",60655
"2021-06-28",64654
"2021-06-29",64483
"2021-06-30",61766
"2021-07-01",66408
"2021-07-02",69136
"2021-07-03",82017
"2021-07-04",86725
"2021-07-05",87183
"2021-07-06",87521
"2021-07-07",83868
"2021-07-08",83596
"2021-07-09",88164
"2021-07-10",90184
"2021-07-11",91076
"2021-07-12",92492
"2021-07-13",90338
"2021-07-14",90545
"2021-07-15",101333
"2021-07-16",104656
"2021-07-17",97642
"2021-07-18",98482
"2021-07-19",106589
"2021-07-20",107670
"2021-07-21",99042
"2021-07-22",97338
"2021-07-23",97968
"2021-07-24",99632
"2021-07-25",116088
"2021-07-26",117166
"2021-07-27",103879
"2021-07-28",106231
"2021-07-29",112689
"2021-07-30",115345
"2021-07-31",124215
"2021-08-01",126560
"2021-08-02",140015
"2021-08-03",133230
"2021-08-04",126085
"2021-08-05",126674
"2021-08-06",123593
"2021-08-07",125945
"2021-08-08",126483
"2021-08-09",141080
"2021-08-10",135972
"2021-08-11",128177
"2021-08-12",130382
"2021-08-13",132938
"2021-08-14",127142
"2021-08-15",128914
"2021-08-16",145771
"2021-08-17",140387
"2021-08-18",132191
"2021-08-19",133177
"2021-08-20",132856
"2021-08-21",140482
"2021-08-22",150164
"2021-08-23",156936
"2021-08-24",161817
"2021-08-25",166710
"2021-08-26",164972
"2021-08-27",158000
"2021-08-28",158018
"2021-08-29",154117
"2021-08-30",145189
"2021-08-31",148008
"2021-09-01",145292
"2021-09-02",144868
"2021-09-03",144511
"2021-09-04",150145
"2021-09-05",156318
"2021-09-06",157411
"2021-09-07",150217
"2021-09-08",144898
"2021-09-09",152452
"2021-09-10",149520
"2021-09-11",149355
"2021-09-12",166398
"2021-09-13",169981
"2021-09-14",161441
"2021-09-15",159842
"2021-09-16",163504
"2021-09-17",172215
"2021-09-18",177058
"2021-09-19",176344
"2021-09-20",168888
"2021-09-21",164513
"2021-09-22",169162
"2021-09-23",159764
"2021-09-24",169479
"2021-09-25",171505
"2021-09-26",173086
"2021-09-27",184908
"2021-09-28",185667
"2021-09-29",188686
"2021-09-30",184085
"2021-10-01",177435
"2021-10-02",193047
"2021-10-03",183292
"2021-10-04",180848
"2021-10-05",178700
"2021-10-06",178309
"2021-10-07",183763
"2021-10-08",185692
"2021-10-09",190520
"2021-10-10",190460
"2021-10-11",194864
"2021-10-12",193834
"2021-10-13",186644
"2021-10-14",179870
"2021-10-15",184950
"2021-10-16",180336
"2021-10-17",194331
"2021-10-18",188873
"2021-10-19",180146
"2021-10-20",176701
"2021-10-21",178620
"2021-10-22",175042
